fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Jan,18,MAHARASHTRA,1822,BULDHANA,1135254,280.915427267277,21,125,1112.064617256,7486,12,22115,1155869,142247,32255,32160,7753,144.15044,4503.229397256,54512,79385,110328,267372,218,475083,991275,29601,3247.01434,396246,93,50.25,0.59,99.83,
2023-2024,Jan,18,MAHARASHTRA,1825,YAVATMAL,3592944,267.027464685221,34,454,2977.359990948,20805,19,31645,3724149,269338,39690,510100,71759,374.1029,13295.963546748,106526,158462,195822,453863,4930,663978,1378190,52450,9944.5006558,1514299,91,50.93,10.52,99.91,
2023-2024,Jan,18,MAHARASHTRA,1835,PALGHAR,3794715,227.522155162122,47,831,3810.821090663,15708,13,34371,4045575,14199,1881,3772028,351591,592.35112,13607.751639363,85083,167754,131568,393537,10288,299358,712445,50079,9204.5794287,2263597,84,21.48,15.77,104.69,
2023-2024,Feb,18,MAHARASHTRA,1804,RATNAGIRI,519750,274.45077265279,26,166,537.726810260999,10148,14,26514,595015,35331,8997,5429,1288,99.67574,2270.425815161,22795,35033,61390,139352,553,252734,471103,36662,1633.0232649,251369,95,79.53,0.19,101.45,
2023-2024,Feb,18,MAHARASHTRA,1808,JALGAON,2040107,264.752444363605,40,141,2120.429013487,19981,21,31666,2325591,151022,32421,188723,38454,228.88284,8506.370871887,57692,89923,136712,336749,5179,659403,1245793,51647,6157.0590184,916830,92,54.63,0.83,103.68,
2023-2024,Feb,18,MAHARASHTRA,1814,KOLHAPUR,398339,263.52165586849,25,55,543.634327412,4456,45,9648,457639,64881,19525,1033,297,80.12106,1829.733258112,17649,30819,46601,113492,465,350879,617337,14104,1205.9778707,191377,92,44.19,0.0,103.92,
2023-2024,Feb,18,MAHARASHTRA,1819,NANDED,3553660,248.122773717865,45,172,3710.224609953,6864,32,42764,4398836,555779,77611,300483,36207,371.34618,14996.084684453,97497,157070,164352,441424,10289,647721,1470328,49628,10914.5138945,1898252,87,50.59,1.31,109.73,
2023-2024,Feb,18,MAHARASHTRA,1820,Dharashiv,1561519,251.651025693287,49,162,1701.215692334,2746,36,23044,1972344,139695,25278,8429,1078,204.00829,6868.647888534,39828,62418,71501,188996,5578,319804,698148,25790,4963.4239062,736759,82,60.49,0.35,100.85,
2023-2024,Feb,18,MAHARASHTRA,1823,AKOLA,925444,256.682603777889,28,1843,331.51519991,6189,3,18155,1078433,178400,34225,50851,9343,148.60206,3248.26716431,38346,55466,81906,187711,1456,284444,550662,24344,2768.1499044,379765,89,36.24,0.67,107.8,
2023-2024,Feb,18,MAHARASHTRA,1833,GONDIA,4704821,184.679551289851,37,341,9168.49567499098,21896,13,27520,5991039,546778,53525,1115983,91405,342.45079,20575.170407791,159349,260451,238962,616015,8774,349188,830887,49416,11064.2239428,3798149,82,25.47,8.55,103.09,
2023-2024,Feb,18,MAHARASHTRA,1834,HINGOLI,2266862,258.179893535296,48,112,2133.038415565,3850,5,22567,2799989,415855,46384,430793,44502,248.02033,9610.067364765,57869,95113,94193,243575,6730,256947,588877,26417,7229.0086192,1110398,90,72.01,0.47,102.47,
2023-2024,June,18,MAHARASHTRA,1802,THANE,128162,236.761352116852,19,18,4.37794,619,43,10764,128162,6122,3273,45949,36151,0.25919,308.0752141,6656,11590,29031,93427,45,129347,314255,11383,303.4380841,54527,94,57.29,6.37,111.54,
2023-2024,June,18,MAHARASHTRA,1805,SINDHUDURG,126424,257.170837815605,16,62,19.360926692,604,28,20296,126424,4316,4123,408,338,0.5769,345.063486692001,7437,12209,40539,93130,45,125014,237506,20900,325.12566,51069,68,70.22,6.2,99.93,
2023-2024,June,18,MAHARASHTRA,1813,SOLAPUR,155824,237.811852363317,16,17,197.993113378,748,313,21401,159310,12733,15136,1398,2519,7.57613,584.427305378,9520,15267,72731,170483,41,527925,916641,22149,378.858062,59172,95,68.66,0.0,101.14,
2023-2024,June,18,MAHARASHTRA,1814,KOLHAPUR,113478,254.696548053367,17,17,63.435936669,317,398,11478,113478,20051,19362,185,294,0.84256,353.303045469,6479,11399,44551,109986,19,341747,602585,11795,289.0245488,49299,92,37.94,0.0,100.35,
2023-2024,June,18,MAHARASHTRA,1817,PARBHANI,1023193,224.095532748954,22,106,28.4896067,94,136,32715,1023193,42209,20576,5618,2766,96.59313,2418.0125411,44674,70978,124688,291292,480,376945,753566,32809,2292.9298044,393219,90,65.12,0.09,102.86,
2023-2024,June,18,MAHARASHTRA,1819,NANDED,1392336,211.329841532504,26,86,219.594686896,470,257,42064,1392336,154532,77246,98011,36048,2.98046,3164.996609296,51986,82318,160261,434864,822,627563,1442654,42534,2942.4214624,609506,87,58.93,1.09,101.04,
2023-2024,June,18,MAHARASHTRA,1824,AMRAVATI,2892025,234.923958451258,43,653,3251.439816599,3740,31,48283,2892025,274631,53963,1188198,138645,66.15313,10111.652555999,66516,122869,185772,520543,6137,454496,1032399,52023,6794.0596094,1248816,78,26.36,28.46,104.19,
2023-2024,June,18,MAHARASHTRA,1826,WARDHA,356269,229.199791898819,28,83,146.730909496,725,62,11522,356269,39291,16351,29070,13278,3.06556,966.364276096002,12666,20509,49202,121341,244,202514,382308,12247,816.567806600002,137646,88,68.26,0.22,104.71,
2023-2024,June,18,MAHARASHTRA,1831,NANDURBAR,438693,210.209063445279,18,33,104.016481,743,175,53588,438693,13868,12381,361140,342467,8.38344,1034.5723677,23554,34699,168004,405488,163,506006,1043942,54331,922.1724467,185106,80,35.81,11.87,100.46,
2023-2024,June,18,MAHARASHTRA,1835,PALGHAR,1956395,245.833174180061,31,632,698.217114444,1816,38,39566,1956395,6730,1860,1830056,348001,37.36396,5545.049002444,62124,120210,128847,389387,2274,288809,708956,41382,4809.467928,1134372,84,12.84,15.48,99.96,
2023-2024,July,18,MAHARASHTRA,1805,SINDHUDURG,149022,256.871328193153,17,84,75.180948484,1148,18,20218,149022,5299,4124,464,338,6.49352,464.469259184001,8615,14168,40746,93543,51,125493,238228,21366,382.794790700001,60330,68,70.75,5.48,99.93,
2023-2024,July,18,MAHARASHTRA,1807,DHULE,546808,261.84348290442,23,51,233.844260092,2233,20,27867,546808,35709,16420,121613,81058,21.39752,1687.022892092,23703,39008,94192,262595,370,420271,899261,30100,1431.781112,216113,88,19.71,1.0,99.91,
2023-2024,July,18,MAHARASHTRA,1814,KOLHAPUR,156321,257.312560756392,19,23,129.458543748,924,264,11133,156321,28037,19373,290,294,0.84256,532.534671848,8130,14253,44779,110435,24,342418,603735,12057,402.2335681,68253,92,37.65,0.0,100.24,
2023-2024,July,18,MAHARASHTRA,1821,LATUR,2099197,252.455790476073,38,151,1098.32806837,2046,24,26234,2099197,253873,56242,23565,3964,38.45567,6436.32811837,54229,88997,114550,294189,3522,364713,790663,28280,5299.54438,861766,87,64.7,0.84,99.9,
2023-2024,July,18,MAHARASHTRA,1826,WARDHA,457636,260.349837906109,30,110,369.627046468,1383,26,11269,457636,53622,16366,40267,13300,3.06556,1564.147190668,14823,24110,49358,121638,438,202968,382874,12652,1191.4545842,175242,87,66.39,0.19,104.17,
2023-2024,July,18,MAHARASHTRA,1827,NAGPUR,616542,244.801487571001,25,186,363.444491037,2492,85,16785,616542,82460,34092,77527,30554,17.10465,1889.853128537,23977,34510,101708,235146,434,264861,518557,19277,1509.3039875,257351,83,52.21,3.85,104.02,
2023-2024,July,18,MAHARASHTRA,1829,CHANDRAPUR,2361394,219.164933784875,29,469,1401.61470361,4921,25,31208,2361394,260135,66311,585090,108356,3.04445,6580.00675011,79786,139903,174084,500886,1334,366227,896932,36129,5175.3475965,1278709,80,27.89,17.58,101.77,
2023-2024,July,18,MAHARASHTRA,1830,GADCHIROLI,1327508,255.821719514308,25,679,988.956295069,4826,23,12117,1327508,137611,41232,544414,170911,33.7077,4418.717787359,53053,93569,135851,396287,671,225141,601079,16943,3396.05379229,665476,83,27.52,26.38,100.01,
2023-2024,July,18,MAHARASHTRA,1835,PALGHAR,2060905,248.373084072289,31,638,2113.009803699,4139,30,38132,2060905,7281,1866,1924305,348238,73.46093,7305.204041999,64668,124683,129005,389687,2495,289224,704281,42271,5118.7333083,1183566,83,13.92,14.47,99.96,
2023-2024,Sep,18,MAHARASHTRA,1802,THANE,196737,275.093718568444,22,31,216.726793003,2307,3,9873,196737,10181,3280,73351,36196,0.25919,758.197112103,8656,15137,29156,93720,107,129951,314622,12180,541.2111291,82733,93,57.67,4.68,107.35,
2023-2024,Sep,18,MAHARASHTRA,1808,JALGAON,1143047,253.109750666421,27,87,775.203848939,11515,52,37369,1143047,86090,32376,102583,38292,110.45183,3778.819090639,41157,62919,135460,334795,1470,641914,1225058,48884,2893.1634117,451252,92,51.55,1.18,104.13,
2023-2024,Sep,18,MAHARASHTRA,1813,SOLAPUR,417701,266.359620676612,23,34,464.958019272,2751,95,20952,422990,29603,15191,3744,2521,68.7299,1660.362478772,17869,29271,73986,172718,422,531569,922491,23703,1126.6745595,156317,95,63.9,0.02,101.12,
2023-2024,Sep,18,MAHARASHTRA,1816,JALNA,2821026,267.606779409837,35,298,1175.097937136,2908,24,44562,2821930,110761,19907,18782,2985,270.59184,8997.36576733601,79876,151678,146315,400513,3769,444642,1027732,47470,7551.6759902,1190850,74,60.37,0.28,99.45,
2023-2024,Sep,18,MAHARASHTRA,1820,Dharashiv,910371,264.914413577996,35,104,1093.170580941,1227,71,22925,905082,68245,25251,4428,1076,54.61583,3545.479083641,25556,39250,69869,186681,1314,311067,687274,24152,2397.6926727,342106,82,61.92,0.56,100.29,
2023-2024,Sep,18,MAHARASHTRA,1827,NAGPUR,829618,262.75329673416,28,235,1284.317763154,3755,43,16921,829618,116332,34191,103129,30739,119.50999,3583.676398454,28922,41236,102289,235941,911,268197,522658,20676,2179.8486453,336899,82,54.79,3.68,103.03,
2023-2024,Sep,18,MAHARASHTRA,1831,NANDURBAR,1054403,252.763256183831,22,78,1126.689868555,5639,39,51585,1054403,32218,12399,820859,342927,172.40156,3964.234784655,47450,70666,169060,407126,687,514866,1056839,57224,2665.1433561,437334,81,25.27,4.49,100.64,
2023-2024,April,18,MAHARASHTRA,1803,RAIGAD,15279,242.405654820342,11,4,2.889062,2,552,14948,15279,268,3011,2423,13969,0.0,39.926222,1290,2242,27723,65190,0,165383,309248,14950,37.03716,6901,55,71.49,3.1,101.38,
2023-2024,April,18,MAHARASHTRA,1821,LATUR,120812,261.972693109956,12,23,313.14299637,566,412,20442,120812,15528,56165,1487,3952,0.24429,629.88173637,9673,14679,111996,289754,6,357802,780027,21008,316.49445,53789,84,63.11,2.93,99.91,
2023-2024,April,18,MAHARASHTRA,1822,BULDHANA,42145,285.46124095385,9,9,0.0,164,554,22983,42145,4918,32213,759,7725,0.0,120.30764,4498,6302,109590,266063,0,467078,981839,23147,120.30764,16060,93,68.95,1.07,99.94,
2023-2024,April,18,MAHARASHTRA,1824,AMRAVATI,652285,146.959233739853,19,324,2013.65758768,1376,254,48083,652285,59312,53892,289603,138511,0.4547,2972.70532548,32642,60061,185319,519679,47,453261,1031231,49459,958.5930378,288403,78,33.1,19.36,112.25,
