fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Oct,18,MAHARASHTRA,1802,THANE,225947,272.334077947483,24,34,264.311800703,2898,2,9624,225947,11186,3280,86016,36215,0.25919,879.901669803,9345,16458,29202,93827,146,130047,314762,12522,615.3306791,94643,93,61.72,3.95,106.32,NA
2023-2024,Oct,18,MAHARASHTRA,1805,SINDHUDURG,253466,272.797141904635,20,104,199.744669756,4261,10,19096,253466,8696,4124,880,341,25.32122,916.513893456003,12348,20574,40912,93881,147,126136,238892,23357,691.448003700003,101692,71,76.64,3.57,99.86,NA
2023-2024,Oct,18,MAHARASHTRA,1811,SATARA,529028,265.579285028392,27,138,481.958643259,4226,160,14729,529028,31312,12079,2368,897,31.74601,1918.693433259,18993,29218,67980,151849,824,395149,745914,18955,1404.98878,226071,88,53.15,1.72,99.99,NA
2023-2024,Oct,18,MAHARASHTRA,1823,AKOLA,689371,265.687881329502,23,1460,273.44298391,4252,5,18227,689371,121671,34142,31412,9340,112.8131,2217.83128831,29906,42944,81611,187268,673,278045,541718,22479,1831.5752044,245963,89,32.87,0.84,100.75,NA
2023-2024,Oct,18,MAHARASHTRA,1824,AMRAVATI,4789965,257.357929767754,56,788,9308.878086383,16128,6,40068,4789965,523469,54097,1536036,139211,634.86632,22271.099166983,85118,155800,186725,522385,14179,457999,1034103,56196,12327.3547606,1901428,78,29.28,14.12,103.55,NA
2023-2024,Oct,18,MAHARASHTRA,1825,YAVATMAL,2852490,271.816710382858,30,377,1926.9065271,14470,20,35766,2852490,219711,39646,405337,71577,282.49812,9962.9491291,92242,136294,194032,451225,2632,650427,1360050,50236,7753.544482,1177994,91,50.98,8.93,99.98,NA
2023-2024,Oct,18,MAHARASHTRA,1829,CHANDRAPUR,2961543,235.603073168278,32,519,4776.45246021099,12442,4,26399,2961543,339165,66348,749167,108512,188.5503,11942.489081411,90006,157477,174358,501348,2753,369477,899848,38841,6977.4863212,1503658,79,32.43,13.37,101.36,NA
2023-2024,Oct,18,MAHARASHTRA,1831,NANDURBAR,1285048,258.758755789667,23,97,2657.251994308,8133,30,50025,1285048,38806,12404,995529,343023,174.90961,6157.335820408,55317,82481,169287,407453,883,516396,1059034,58158,3325.1742161,531328,81,25.58,3.86,101.32,NA
2023-2024,Aug,18,MAHARASHTRA,1808,JALGAON,855652,258.471415037889,23,78,563.694538939,4742,68,43487,855652,69308,32376,79391,38257,110.45183,2885.762201139,36550,55295,135249,334454,701,640790,1223790,48229,2211.6158322,337069,93,48.33,1.32,104.8,NA
2023-2024,Aug,18,MAHARASHTRA,1809,AHMEDNAGAR,1090343,285.04452576116,26,82,1230.444008048,8840,36,38745,1090343,80777,35632,51695,27667,14.88021,4353.287251568,41652,66183,156940,450646,1286,755941,1876527,47585,3107.96303352,443213,86,67.26,0.76,101.23,NA
2023-2024,Aug,18,MAHARASHTRA,1810,PUNE,189305,298.532579171179,21,46,413.597965813001,2513,235,23773,189305,13715,10658,25698,21602,11.77007,990.505134813001,8690,14283,56340,150004,103,360843,781940,26286,565.137099,82492,92,70.08,0.27,103.17,NA
2023-2024,Aug,18,MAHARASHTRA,1818,BEED,4063956,252.144838039643,35,213,2908.140301868,496,89,57280,4064791,66460,14498,6667,1729,11.55778,13168.858765468,114326,193262,221798,554419,7621,620831,1309650,57776,10249.1606836,1657451,79,65.41,7.1,112.74,NA
2023-2024,July,18,MAHARASHTRA,1802,THANE,153976,261.350037733153,20,22,102.863732908,1364,19,10200,153976,7985,3275,56668,36161,0.25919,505.539257008,7380,12798,29056,93493,62,129631,314193,11564,402.4163341,65062,94,55.25,5.92,109.49,NA
2023-2024,July,18,MAHARASHTRA,1808,JALGAON,651801,250.048173322839,21,63,260.080690168,3459,103,43943,651801,53762,32364,59650,38220,2.29542,1892.192604368,30541,45793,134921,333969,327,639796,1223613,47402,1629.8164942,257687,93,50.29,1.37,105.89,NA
2023-2024,July,18,MAHARASHTRA,1811,SATARA,287090,243.655815249573,21,100,232.75498379,2470,470,14981,287090,17627,12033,1403,892,26.1301,958.39656379,13146,19796,67548,151076,210,392551,741662,17451,699.51148,123118,87,51.47,2.4,99.86,NA
2023-2024,July,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,2657914,248.477665767157,33,438,1209.948864358,1346,44,64989,2656633,86693,27297,48353,11807,91.80067,7902.889200758,79593,133801,203531,553923,3617,640164,1377134,66335,6601.1396664,1078743,94,69.59,0.77,101.13,NA
2023-2024,July,18,MAHARASHTRA,1832,WASHIM,401643,278.063221517616,17,112,120.624944632,773,25,17723,401643,40120,17723,14163,5987,20.60251,1258.048919432,23307,34669,66126,159446,30,262869,527521,18496,1116.8214648,155639,87,38.72,24.16,99.64,NA
2023-2024,July,18,MAHARASHTRA,1833,GONDIA,3077459,197.189736867331,25,275,4189.85640890299,8901,14,33388,3077459,286095,53379,604319,90958,64.71308,10323.002793203,121998,189577,237811,613891,989,341743,823116,42289,6068.4333043,2004370,84,23.96,12.19,100.01,NA
2023-2024,Sep,18,MAHARASHTRA,1805,SINDHUDURG,211675,276.452339246487,18,95,188.085169756,2785,11,19971,211675,8113,4124,617,341,25.32122,798.586878856002,11356,18793,40865,93791,85,125896,238603,22756,585.180489100002,84890,70,73.83,4.04,99.87,NA
2023-2024,Sep,18,MAHARASHTRA,1810,PUNE,215534,300.560447075635,22,47,541.574354913001,3552,190,23330,215534,15168,10662,28815,21613,11.77007,1201.154378913,9780,16079,56489,150324,125,361635,783170,26882,647.809954,93096,92,70.19,0.28,103.07,NA
2023-2024,Sep,18,MAHARASHTRA,1812,SANGLI,300281,254.805911795951,26,21,394.89583986,2095,36,15429,300281,25070,8701,579,240,18.20016,1178.22973986,11182,16446,48953,104940,217,308047,540827,17524,765.13374,111792,86,42.57,0.2,100.08,NA
2023-2024,Sep,18,MAHARASHTRA,1814,KOLHAPUR,247142,276.062422939039,22,35,286.999598992,2219,121,10387,247142,42007,19495,614,294,45.0988,1014.364592292,10908,19213,45280,111380,124,344506,607038,12606,682.2661933,107903,92,40.22,0,100.07,NA
2023-2024,Sep,18,MAHARASHTRA,1819,NANDED,2176487,266.197852548625,31,114,1909.868434635,3302,56,42255,2176487,291513,77379,156455,36090,9.54798,7713.178069635,68945,109496,161022,436143,2655,629752,1445504,45557,5793.761655,957155,87,52.49,1.22,102.19,NA
2023-2024,Sep,18,MAHARASHTRA,1821,LATUR,2533380,271.22777238314,42,156,2145.215774474,4102,14,26180,2533380,323642,56263,28667,3966,270.66691,9287.112824474,59416,97886,115099,295163,5286,367631,794679,30282,6871.23014,1051560,87,65.37,0.7,99.89,NA
2023-2024,Sep,18,MAHARASHTRA,1823,AKOLA,597495,265.631409166604,21,1365,194.30694471,3624,8,18434,597495,108890,34108,27143,9335,75.46003,1856.90136291,28017,39977,81551,187166,495,276736,539937,22058,1587.1343882,212885,88,30.16,0.94,100.59,NA
2023-2024,Sep,18,MAHARASHTRA,1832,WASHIM,558956,277.823354217505,19,160,284.491267838,1604,12,17649,558956,58039,17734,20084,5987,81.10512,1918.506695638,28606,43032,66307,159769,95,263930,529200,19253,1552.9103078,217346,87,40.99,18.19,99.56,NA
2023-2024,Dec,18,MAHARASHTRA,1804,RATNAGIRI,478622,279.517277972517,23,144,532.697620260999,8798,19,26500,478702,27927,8988,4672,1277,76.96089,1947.713310261,20478,31531,61218,139083,332,250315,470538,35298,1338.0548,203492,95,78.68,0.15,100.78,NA
2023-2024,Dec,18,MAHARASHTRA,1806,NASHIK,1955129,275.195693705287,30,487,3684.587610609,12866,16,48071,1955117,40574,11630,690613,216027,151.10059,9216.085991509,64441,108379,182831,519519,2603,667034,1435007,60937,5380.3977909,706861,80,34.83,17.19,99.81,NA
2023-2024,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1994896,275.215519773045,33,122,2123.278751365,15065,14,36379,1994761,137235,35675,90485,27698,218.73981,7831.910415745,59544,97845,157596,451999,4048,760628,1884681,51444,5489.89185438,815313,87,71.06,0.45,101.21,NA
2023-2024,Dec,18,MAHARASHTRA,1819,NANDED,3135827,255.414278349644,38,146,3538.860325848,6181,33,41534,3135057,424545,77522,223470,36136,312.16591,11858.409448248,82252,132065,162648,438747,5760,636432,1454535,47715,8007.3832124,1372887,87,48.86,1.24,105.04,NA
2023-2024,Dec,18,MAHARASHTRA,1823,AKOLA,842046,266.374333058466,25,1594,324.46395991,5080,4,18065,841618,142775,34173,38236,9340,133.48837,2699.80666431,32924,47593,81781,187536,999,282477,548002,23145,2241.8543344,298547,89,35.89,0.74,102.17,NA
2023-2024,Dec,18,MAHARASHTRA,1824,AMRAVATI,6311732,248.117784384861,66,851,12523.991772594,20102,4,37622,6308045,691363,54189,2010507,139679,808.95151,28984.324774594,94283,174754,187347,523536,20148,461386,1038010,57724,15651.381492,2510014,79,32.69,14.34,107.19,NA
2023-2024,Dec,18,MAHARASHTRA,1827,NAGPUR,1221461,260.295672536024,34,290,2541.653560663,5662,29,16360,1221258,172274,34267,157111,30809,168.33305,5888.868335163,35831,51677,102675,236509,2113,271512,526591,22022,3178.8817245,498875,83,57.69,3.77,102.75,NA
2023-2024,Jan,18,MAHARASHTRA,1805,SINDHUDURG,348547,275.374121096426,24,125,279.449320756,6028,7,18116,357781,10812,4124,1176,341,43.71998,1308.405584956,14536,24375,40968,93977,339,127411,240313,24144,985.236284200005,142911,72,79.04,3.97,99.78,NA
2023-2024,Jan,18,MAHARASHTRA,1811,SATARA,771402,268.633346245158,32,188,765.589291484,5980,44,14185,800300,45482,12087,3497,899,121.30512,3036.767081484,24888,38786,68458,152650,1613,398867,751663,20165,2149.87267,338502,88,54.16,1.72,99.97,NA
2023-2024,Jan,18,MAHARASHTRA,1812,SANGLI,518831,258.225445451131,31,38,765.474610648,4511,12,14200,545795,44658,8701,812,240,62.52114,2237.377320648,17431,25928,49231,105353,543,309686,543250,18711,1409.38157,199345,86,48.27,0.13,100.49,NA
2023-2024,Jan,18,MAHARASHTRA,1814,KOLHAPUR,388624,271.938525619464,25,52,543.214327412,4313,57,9513,401355,59314,19513,890,297,67.8765,1702.529696912,15858,27832,46309,113050,387,349468,615084,13826,1091.4388695,169788,92,41.6,0,101.66,NA
2023-2024,Jan,18,MAHARASHTRA,1821,LATUR,3813759,264.561330601726,53,195,3660.446467453,6291,7,26931,3937121,481170,56307,43686,3966,342.53739,14419.083562453,73313,121633,117096,298601,10716,376423,807028,33222,10416.099705,1619322,87,61.36,0.47,99.75,NA
2023-2024,Jan,18,MAHARASHTRA,1827,NAGPUR,1325762,254.663985958684,36,306,2553.598210663,6113,27,16437,1385910,192653,34287,176482,30839,182.47258,6265.484438463,38299,55418,102909,236813,2603,273329,528766,22550,3529.4136478,566308,83,58.17,3.53,103.74,NA
2023-2024,Jan,18,MAHARASHTRA,1829,CHANDRAPUR,3532430,231.43300029785,37,563,5664.39860062799,14867,4,26231,3662913,423854,66412,921725,108648,313.6936,14455.281654828,98624,173763,174668,501870,5171,375270,906928,41098,8477.1894542,1839576,79,32.98,12.63,101.64,NA
2023-2024,Jan,18,MAHARASHTRA,1830,GADCHIROLI,2410229,243.431666474693,33,942,3874.294026699,10420,2,10328,2595836,260534,41277,1160378,171222,257.23545,10450.616310449,78485,146128,136425,397280,3295,229689,597354,20748,6319.08683375001,1268483,83,30.42,17.22,99.94,NA
2023-2024,June,18,MAHARASHTRA,1804,RATNAGIRI,164988,259.115317477635,15,62,35.94128165,1273,99,30323,164988,8154,8928,984,1260,7.11946,470.56992165,10907,16517,60263,137431,27,246440,466034,31596,427.50918,68760,95,79.56,0.1,100.31,NA
2023-2024,June,18,MAHARASHTRA,1808,JALGAON,460887,232.349658441223,18,51,16.30247,1931,245,44488,460887,36955,32356,39149,38182,2.29542,1089.4672603,24321,36298,134647,333545,164,638998,1226368,46419,1070.8693703,183713,93,54.15,1.3,102.41,NA
2023-2024,June,18,MAHARASHTRA,1810,PUNE,108681,272.982819444061,18,27,117.396897351,732,503,24601,108681,7507,10615,18170,21542,11.77007,425.847425351,5950,9702,55842,148885,11,358568,778145,25333,296.680458,48221,92,74.63,0.31,105.31,NA
2023-2024,June,18,MAHARASHTRA,1812,SANGLI,110893,234.770183870939,20,12,146.1822708,390,238,16003,110893,9774,8698,277,240,0.68327,407.2092408,5466,7684,48770,104624,15,307493,540508,16393,260.3437,42025,85,43.23,0.32,100.8,NA
2023-2024,June,18,MAHARASHTRA,1818,BEED,2250078,182.10990338862,27,166,733.611069293,135,233,53864,2250149,37161,14451,4473,1729,11.55778,4842.913019293,83067,138962,218780,549110,1842,614424,1299940,53999,4097.74417,914652,79,62.65,7.75,112.12,NA
2023-2024,June,18,MAHARASHTRA,1833,GONDIA,2790450,184.519377333405,23,265,1960.463825886,4908,16,35336,2790450,256570,53365,548321,90939,44.73976,7154.124550686,116699,179172,237757,613796,673,341462,823766,40244,5148.9209648,1862998,84,22.74,13.69,100.01,NA
2023-2024,March,18,MAHARASHTRA,1802,THANE,320448,296.821989229327,27,46,520.391912297999,3929,2,10537,364694,15313,3294,145048,36330,50.89534,1653.779237698,13182,23458,29467,94378,479,135243,321348,14466,1082.4919854,162749,94,66.03,2.9,104.8,NA
2023-2024,March,18,MAHARASHTRA,1812,SANGLI,546877,280.478601859599,32,49,1089.708861458,4781,11,14464,674124,50022,8709,936,240,77.292,3057.774431458,20825,30965,49388,105590,862,311131,545378,19245,1890.77357,248738,87,50.18,0.11,100.75,NA
2023-2024,March,18,MAHARASHTRA,1814,KOLHAPUR,409631,281.738620181318,25,57,730.896329131999,4780,33,9568,502653,70969,19535,1116,297,80.12106,2227.185015632,19761,34232,46881,113994,554,352225,619756,14348,1416.1676265,218626,93,44.32,0.01,103.94,NA
2023-2024,March,18,MAHARASHTRA,1818,BEED,7145007,263.931515458924,42,502,9376.134989384,2945,53,63227,8319790,169527,14773,17638,1765,482.55794,31817.240759384,194503,333549,235337,576729,28721,664372,1372840,66172,21958.54783,4226711,80,56.2,5.6,161.22,NA
2023-2024,March,18,MAHARASHTRA,1822,BULDHANA,1196621,282.475222145467,23,145,1218.76531964,8343,11,22559,1438922,164687,32260,40329,7753,162.58788,5445.95131564,61047,89533,110436,267553,421,477486,994327,30902,4064.598116,493728,93,51.85,0.55,99.86,NA
2023-2024,March,18,MAHARASHTRA,1835,PALGHAR,3999841,319.851333268756,49,944,4915.249905481,17272,7,34786,4604308,19206,1886,5458447,352096,610.92313,20253.113561281,92837,183611,131990,394148,18296,303253,717073,52058,14726.9405258,3337303,84,19.53,18.14,104.59,NA
2023-2024,July,18,MAHARASHTRA,1810,PUNE,151788,278.233629799457,20,40,252.325358336,1565,328,24110,151788,10992,10639,22895,21573,11.77007,686.420690336,7438,12180,56153,149565,45,359760,779969,25675,422.325262,66753,92,71.98,0.26,103.71,NA
2023-2024,July,18,MAHARASHTRA,1820,Dharashiv,642061,236.072438088994,30,85,581.193983789,707,113,22834,637528,41901,25242,3255,1076,15.5828,2101.804676889,20802,31628,69516,186142,646,309538,685280,23541,1505.0278931,239055,82,57.5,0.58,99.89,NA
2023-2024,July,18,MAHARASHTRA,1824,AMRAVATI,3413865,241.998501718727,46,695,3457.768251239,9187,16,43997,3413865,342532,53990,1276703,138684,69.18066,11788.451061939,73055,133958,185969,520937,7965,455185,1031630,53184,8261.5021507,1434693,78,24.45,20.43,104.01,NA
2023-2024,July,18,MAHARASHTRA,1828,BHANDARA,2644235,174.510099098605,23,4678,1210.227535353,5847,10,20860,2644235,334649,62537,205902,34170,18.56333,5843.247984253,113856,184267,192643,463485,529,282968,629835,26707,4614.4571189,1669670,86,25.91,27.65,102.23,NA
2023-2024,July,18,MAHARASHTRA,1834,HINGOLI,1360724,262.031111378942,34,75,476.898317122,1288,35,21445,1360724,185037,46336,202477,44364,0,4042.418537122,39537,63517,92525,240717,1580,249655,578840,22733,3565.52022,543250,89,78.27,0.62,100.18,NA
2023-2024,Aug,18,MAHARASHTRA,1817,PARBHANI,1714652,280.891496673902,29,123,551.043137304001,400,69,33394,1714622,78192,20617,9454,2770,165.85245,5533.122985404,57338,92089,126494,293711,1587,381573,758802,33794,4816.2273981,662995,90,66.47,0.06,102.27,NA
2023-2024,Aug,18,MAHARASHTRA,1823,AKOLA,508783,263.73460052714,19,1294,171.02586241,3159,9,18653,508783,94466,34062,22301,9333,63.51248,1576.37515501,26184,37205,81458,187002,316,275639,538356,21812,1341.8368126,181677,88,26.91,1.07,100.5,NA
2023-2024,Aug,18,MAHARASHTRA,1828,BHANDARA,2766303,180.860313613512,23,4758,1627.161363804,8683,8,19165,2766303,348003,62539,215908,34174,87.976,6718.281645104,116291,188704,192662,463522,671,283259,629592,27848,5003.1442813,1725487,85,26.94,24.29,102.09,NA
2023-2024,Aug,18,MAHARASHTRA,1830,GADCHIROLI,1404300,263.409419674571,25,695,2233.429060748,5797,10,11737,1404300,149662,41238,575590,170943,81.35525,6013.842791238,55114,96922,135890,396365,747,225401,599051,17534,3699.05848049,696030,82,26.97,24.3,100.01,NA
2023-2024,Aug,18,MAHARASHTRA,1832,WASHIM,476806,279.87143152561,18,140,266.054757838,1233,20,17685,476806,49048,17727,17118,5987,80.67512,1681.173655638,25904,38719,66249,159680,52,263646,528813,18918,1334.4437778,185288,86,38.77,20.48,99.62,NA
2023-2024,Sep,18,MAHARASHTRA,1806,NASHIK,1441492,268.599021932922,27,389,1977.092842764,7415,37,51371,1441486,30939,11617,482313,215918,13.85629,5862.766430064,53123,88585,182172,518438,1551,663033,1429690,58786,3871.8172973,525004,80,36.48,17.08,99.86,NA
2023-2024,Sep,18,MAHARASHTRA,1811,SATARA,439660,263.176443160624,25,126,408.468870967,3439,257,15002,439660,26072,12067,2011,893,31.49701,1597.047430967,16986,25907,67826,151582,606,394235,744550,18441,1157.08155,187658,88,52.19,1.91,99.82,NA
2023-2024,Sep,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,3688618,264.548728396013,38,529,3062.32225593001,2008,26,67159,3686588,125533,27403,62488,11829,290.2994,13105.44333113,96069,162688,205724,558067,7042,646308,1387893,69167,9752.8216752,1504125,94,69.3,0.71,101.3,NA
2023-2024,Sep,18,MAHARASHTRA,1818,BEED,4840112,240.429332327907,38,234,3395.348640268,1121,80,57586,4843051,81764,14520,7633,1729,13.49953,15052.963353868,124898,211868,222683,555903,10102,623023,1312900,58707,11644.1151836,1980121,79,64.25,6.61,115.65,NA
2023-2024,Sep,18,MAHARASHTRA,1822,BULDHANA,752695,286.964406234721,17,87,859.766963696999,4993,21,22629,752688,100259,32231,17848,7742,91.15668,3110.870293697,43176,61997,109938,266688,68,468819,983814,27622,2159.94665,262419,92,44.23,0.8,99.92,NA
2023-2024,Sep,18,MAHARASHTRA,1824,AMRAVATI,4263962,258.752289227718,53,758,4566.355926428,14097,8,41120,4263962,458731,54066,1436598,139096,292.2346,15891.689813228,80183,146612,186537,522014,12161,457377,1033801,55217,11033.0992868,1716486,78,29.28,16.55,103.75,NA
2023-2024,Sep,18,MAHARASHTRA,1834,HINGOLI,1496760,270.634877121249,35,79,1343.354419732,1960,26,21705,1496760,217636,46350,227365,44370,0,5394.109006532,42082,67736,92705,241022,2071,250423,579934,23665,4050.7545868,599837,90,75.73,0.65,100.2,NA
2023-2024,Sep,18,MAHARASHTRA,1835,PALGHAR,2306105,250.770012050622,33,657,2892.824984609,9617,21,35194,2306105,8693,1871,2145014,349814,409.36927,9085.214041009,68797,133040,130191,391422,3190,292753,705978,44811,5783.0197864,1296257,84,16.86,12.63,99.95,NA
2023-2024,Oct,18,MAHARASHTRA,1810,PUNE,263558,287.559383513306,22,54,661.220217746001,4222,129,23346,263558,17724,10671,32279,21635,43.63311,1462.739087746,11592,19219,56621,150583,188,362487,784671,27568,757.88576,111752,93,70.37,0.29,102.73,NA
2023-2024,Oct,18,MAHARASHTRA,1812,SANGLI,376330,255.52534477719,27,26,547.06921986,2948,19,15101,376330,32349,8701,656,240,28.55645,1537.24419986,13575,20171,49026,105052,307,308279,541163,18049,961.61853,140324,86,45.2,0.18,100.12,NA
2023-2024,Oct,18,MAHARASHTRA,1813,SOLAPUR,528827,261.236184365655,25,37,582.301448652,4291,68,20152,534362,35668,15213,5041,2523,68.7299,2046.978248152,21098,34917,74312,173291,599,532512,924071,24443,1395.9468995,197214,95,66.89,0.02,101.01,NA
2023-2024,Oct,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4195432,264.273668127668,40,555,3686.077101883,2789,15,68479,4191190,142146,27473,69876,11859,336.95535,15099.244003083,104168,178065,207047,560500,8750,649708,1393678,71268,11076.2115512,1714681,94,69.2,0.66,102.5,NA
2023-2024,Oct,18,MAHARASHTRA,1816,JALNA,3101919,267.569885062321,37,306,1391.840034856,4802,23,43542,3104900,123006,19920,20551,2985,272.72934,9972.34673615601,83704,158754,146848,401332,4529,446142,1029697,48344,8307.77736130001,1307325,74,60.7,0.26,99.55,NA
2023-2024,Oct,18,MAHARASHTRA,1822,BULDHANA,875582,280.948223738686,18,103,976.407343223999,5962,14,22324,875575,113629,32241,21291,7746,93.90627,3530.226023224,47058,67937,110053,266884,95,469646,984034,28286,2459.91241,303353,93,45.54,0.75,99.89,NA
2023-2024,Nov,18,MAHARASHTRA,1812,SANGLI,427653,254.943711373473,28,30,572.19209986,3380,15,14887,427653,36907,8701,750,240,48.32647,1710.79299986,14848,22143,49081,105130,356,308763,541833,18267,1090.27443,158840,86,46.34,0.16,100.05,NA
2023-2024,Nov,18,MAHARASHTRA,1816,JALNA,3366144,260.584998906796,38,322,1920.49380613,5215,23,43752,3370825,132155,19921,22321,2985,326.24444,11030.60253553,87110,165423,147510,402379,5380,447876,1032122,48967,8783.86428940001,1418873,74,59.7,0.25,99.54,NA
2023-2024,Nov,18,MAHARASHTRA,1817,PARBHANI,2952508,252.546205778916,39,153,1381.071360048,1567,35,33811,2952353,136999,20686,14717,2773,368.6482,9205.775042748,73939,120074,129495,297708,5275,389106,768023,35378,7456.0554827,1159416,90,67.7,0.04,103.42,NA
2023-2024,Nov,18,MAHARASHTRA,1819,NANDED,2608254,262.252743367785,34,128,2791.523636402,5155,39,41825,2608254,360602,77452,189391,36112,258.87927,9890.620575402,75517,120521,161798,437441,3973,632719,1449395,46980,6840.217669,1149038,87,49.64,1.18,102.83,NA
2023-2024,Nov,18,MAHARASHTRA,1821,LATUR,3007454,264.25998652016,46,174,2921.529878481,5183,7,26247,3007454,387520,56282,34524,3966,306.85532,11175.882733481,64733,107062,115845,296435,7007,370550,798659,31430,7947.497535,1249119,87,63.66,0.63,99.88,NA
2023-2024,Nov,18,MAHARASHTRA,1825,YAVATMAL,3019345,271.188554537491,31,392,2607.459373348,17601,19,33071,3019345,231211,39652,427261,71600,327.92804,11123.505475348,95281,141130,194354,451719,2978,652640,1363104,50672,8188.118062,1243472,91,50.27,9.89,99.96,NA
2023-2024,Nov,18,MAHARASHTRA,1828,BHANDARA,3044762,188.962637667575,25,4919,2489.29845686,13037,7,16424,3044762,379563,62542,240714,34182,238.37703,8481.13807276,121166,197592,192696,463588,1204,283808,629022,29461,5753.4625859,1857250,84,26.98,18.63,101.83,NA
2023-2024,Nov,18,MAHARASHTRA,1831,NANDURBAR,1444759,259.509739416747,24,103,2689.757634308,11950,27,46655,1444759,43090,12404,1096574,343057,196.54432,6635.592270408,58972,88182,169385,407605,1084,517177,1060199,58605,3749.2903161,594774,81,26.98,3.43,101.62,NA
2023-2024,Nov,18,MAHARASHTRA,1832,WASHIM,686147,274.133313677681,21,168,386.057134955,1925,9,17888,686147,69734,17745,24264,5989,106.08628,2373.100922755,31745,48150,66603,160246,238,266240,532522,19813,1880.9575078,266711,87,46.19,15.73,99.45,NA
2023-2024,Nov,18,MAHARASHTRA,1833,GONDIA,3706186,214.092963178319,27,292,6640.38304717799,18989,13,27361,3706186,349825,53461,705364,91168,240.75825,14815.824725478,133158,211234,238415,615016,2244,346155,828072,46350,7934.6834283,2279781,83,27.07,8.83,100.08,NA
2023-2024,Feb,18,MAHARASHTRA,1809,AHMEDNAGAR,2185138,263.060319360208,37,145,2158.610871365,17033,12,37667,2561083,165374,35684,108382,27709,274.29449,9170.098480245,69015,114243,157858,452534,5644,763970,1890686,54700,6737.19311888,1035998,87,72.9,0.38,104.85,NA
2023-2024,Feb,18,MAHARASHTRA,1822,BULDHANA,1163635,275.511361123726,22,133,1112.922827256,7889,12,22243,1292557,153356,32260,37027,7753,162.58788,4836.652091256,57681,84303,110417,267525,301,476568,993062,30132,3561.141384,442428,93,50.59,0.54,99.84,NA
2023-2024,Feb,18,MAHARASHTRA,1825,YAVATMAL,3682767,263.033463399606,37,498,2979.765590948,21221,19,32178,4284585,298011,39700,574319,71818,440.23843,14689.896338748,115682,172472,196309,454539,6426,666637,1380788,53399,11269.8923178,1730108,91,51.97,10.57,99.91,NA
2023-2024,Feb,18,MAHARASHTRA,1826,WARDHA,876649,269.932326596581,43,156,989.002757676,3857,6,10771,1030170,114051,16454,92442,13415,153.04813,3922.812736576,23672,39519,50687,123776,2081,214881,395175,14628,2780.7618489,373809,88,71.58,0.43,103.31,NA
2023-2024,Feb,18,MAHARASHTRA,1830,GADCHIROLI,2470484,239.0756852049,39,1066,3880.716456699,10778,2,11081,3412623,324281,41287,1563419,171265,281.74551,12321.213787409,85673,162809,136509,397406,6245,230567,597590,21859,8158.75182071001,1667421,83,32.14,17.59,100.02,NA
2023-2024,Feb,18,MAHARASHTRA,1831,NANDURBAR,1782427,254.24292935839,29,133,3478.729476066,16959,15,43393,2097036,63172,12407,1555641,343261,258.53705,9068.832282166,71195,106999,169728,408147,2405,522295,1067653,60352,5331.5657561,858310,81,28.28,2.96,106.37,NA
2023-2024,Feb,18,MAHARASHTRA,1832,WASHIM,927612,256.399542684924,30,262,410.449050945,2333,8,19263,1266829,111145,17807,40664,6015,119.19847,3777.791283545,42194,65270,67388,161484,1393,271057,539660,21596,3248.1437626,487514,88,55.01,17.52,100.22,NA
2023-2024,May,18,MAHARASHTRA,1803,RAIGAD,56879,212.996729900315,15,17,4.380782,8,354,15089,56879,1358,3021,9242,14069,0,125.531192,3746,6470,27951,65625,5,165963,310159,15097,121.15041,25089,55,67.1,6.13,104.12,NA
2023-2024,May,18,MAHARASHTRA,1804,RATNAGIRI,108802,230.136082057315,13,46,32.56611165,1078,159,29898,108802,5061,8925,632,1258,0,282.95877165,7983,12105,60110,137127,0,245987,465387,30976,250.39266,45492,95,81.87,0.07,100.09,NA
2023-2024,May,18,MAHARASHTRA,1807,DHULE,189893,194.158927395955,14,22,101.54743238,471,145,28257,189893,13596,16411,41966,80994,8.98863,479.23027438,13560,21827,93968,262185,7,419408,899726,28728,368.694212,74785,88,19.85,1.16,99.9,NA
2023-2024,May,18,MAHARASHTRA,1811,SATARA,96017,181.382994678026,13,70,184.880132103,690,873,15907,96017,6655,11980,596,892,15.13657,374.175212103,7116,10772,66989,150019,12,390131,737956,16597,174.15851,42419,87,60.58,2.56,99.93,NA
