fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,May,18,MAHARASHTRA,1806,NASHIK,304813,168.097820663817,15,140,360.105744241,2012,483,51063,304813,5874,11597,122674,215649,0,872.489754341,19394,31503,180157,514972,29,657925,1436335,53075,512.3840101,113873,78,47.05,7.37,99.84,NA
2023-2024,May,18,MAHARASHTRA,1822,BULDHANA,188894,210.008311539805,10,29,4.86714,498,253,23837,188894,24860,32218,3388,7726,1.30252,402.86276,17711,24962,109730,266311,0,467889,983019,24335,396.6931,67814,93,50.82,0.55,99.92,NA
2023-2024,May,18,MAHARASHTRA,1828,BHANDARA,758959,92.636647855813,12,2536,421.477331992,2396,65,21878,758959,99740,62533,65727,34169,16.42111,1140.972618192,61484,95881,192590,463394,1,282543,630297,24274,703.0741762,464410,87,29.27,13.68,107.82,NA
2023-2024,May,18,MAHARASHTRA,1832,WASHIM,139805,211.678039698151,10,56,114.360614632,335,102,17335,139805,12512,17707,4528,5987,10.25209,420.549188032,12833,18745,65736,158796,2,260360,523801,17670,295.9364834,53907,86,43.96,28.83,99.57,NA
2023-2024,May,18,MAHARASHTRA,1833,GONDIA,1074271,138.346003755105,15,136,1942.808535886,3398,33,35341,1074271,106523,53335,240545,90886,36.95236,3465.971893886,69328,104170,237627,613563,54,340919,823797,38739,1486.210998,669010,84,27.01,6.73,100.01,NA
2023-2024,May,18,MAHARASHTRA,1834,HINGOLI,503647,165.425160876566,18,52,58.867805,727,89,20610,503647,66968,46322,73222,44341,0,892.026665,27549,43822,92253,240252,37,248599,577279,21337,833.15886,201870,89,81.57,0.89,100,NA
2023-2024,Jan,18,MAHARASHTRA,1808,JALGAON,1990348,265.97998029826,37,130,2120.429013487,19440,23,31650,2052103,137593,32416,171088,38433,201.82162,7780.433788587,54434,84822,136571,336537,4303,656152,1241737,51090,5458.1831551,811545,92,53.64,0.92,103.33,NA
2023-2024,Jan,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,7142003,248.584552023508,52,993,5383.527306901,8716,11,69574,7585811,231871,27644,120719,11976,472.25616,24712.937758601,144859,256898,213514,571833,20784,664914,1418298,78290,18857.1542917,3127720,94,72.73,0.56,113.12,NA
2023-2024,Jan,18,MAHARASHTRA,1816,JALNA,4446250,257.150942867955,47,349,2287.66948113,6304,20,44843,4653833,170494,19990,30098,2986,351.81376,14606.85868013,98853,187544,149568,405615,10446,456466,1044449,51147,11967.375439,1946810,75,57.49,0.22,99.49,NA
2023-2024,Jan,18,MAHARASHTRA,1817,PARBHANI,4222349,244.047234978599,50,185,1700.700113316,1947,29,34650,4524012,193827,20729,21479,2776,406.70486,13148.131169416,89398,145945,132304,301558,11452,399305,780907,36597,11040.7261961,1768845,90,69.66,0.05,110.61,NA
